"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"61","Per","Opc","PTN","PTPRZ1",0.102098631960191,0,"PTN_PTPRZ1","PTN - PTPRZ1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"62","Ast","Opc","PTN","SDC3",0.0270341473139904,0,"PTN_SDC3","PTN - SDC3","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"63","Opc","Opc","PTN","SDC3",0.0270249742195884,0,"PTN_SDC3","PTN - SDC3","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"64","Per","Opc","PTN","SDC3",0.0159214158452122,0,"PTN_SDC3","PTN - SDC3","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"65","Ast","Ast","PTN","SDC4",0.0261905739515765,0,"PTN_SDC4","PTN - SDC4","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"66","Opc","Ast","PTN","SDC4",0.0261816793919566,0,"PTN_SDC4","PTN - SDC4","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"67","Per","Ast","PTN","SDC4",0.0154191087694635,0,"PTN_SDC4","PTN - SDC4","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"68","Ast","In","PTN","ALK",0.0216632414770602,0,"PTN_ALK","PTN - ALK","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"69","Opc","In","PTN","ALK",0.0216558502492688,0,"PTN_ALK","PTN - ALK","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"70","Per","In","PTN","ALK",0.0127294048485138,0,"PTN_ALK","PTN - ALK","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"71","Ast","Opc","PTN","ALK",0.0839602896828827,0,"PTN_ALK","PTN - ALK","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"72","Opc","Opc","PTN","ALK",0.0839334669861422,0,"PTN_ALK","PTN - ALK","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"73","Per","Opc","PTN","ALK",0.0506658750192947,0,"PTN_ALK","PTN - ALK","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"74","Ast","Ast","PSAP","GPR37L1",0.0315229132073375,0,"PSAP_GPR37L1","PSAP - GPR37L1","PSAP","Secreted Signaling","PMID: 23690594"
"75","End","Ast","PSAP","GPR37L1",0.0106989188461857,0,"PSAP_GPR37L1","PSAP - GPR37L1","PSAP","Secreted Signaling","PMID: 23690594"
"76","Ex","Ast","PSAP","GPR37L1",0.028495325545763,0,"PSAP_GPR37L1","PSAP - GPR37L1","PSAP","Secreted Signaling","PMID: 23690594"
"77","In","Ast","PSAP","GPR37L1",0.0104162561164311,0,"PSAP_GPR37L1","PSAP - GPR37L1","PSAP","Secreted Signaling","PMID: 23690594"
"78","Mic","Ast","PSAP","GPR37L1",0.0149064067590778,0,"PSAP_GPR37L1","PSAP - GPR37L1","PSAP","Secreted Signaling","PMID: 23690594"
"79","Oli","Ast","PSAP","GPR37L1",0.0121828644423143,0,"PSAP_GPR37L1","PSAP - GPR37L1","PSAP","Secreted Signaling","PMID: 23690594"
"80","Opc","Ast","PSAP","GPR37L1",0.0114475383620584,0,"PSAP_GPR37L1","PSAP - GPR37L1","PSAP","Secreted Signaling","PMID: 23690594"
"81","Ast","Opc","PSAP","GPR37L1",0.0262362190251828,0,"PSAP_GPR37L1","PSAP - GPR37L1","PSAP","Secreted Signaling","PMID: 23690594"
"82","End","Opc","PSAP","GPR37L1",0.00887261263691382,0,"PSAP_GPR37L1","PSAP - GPR37L1","PSAP","Secreted Signaling","PMID: 23690594"
"83","Ex","Opc","PSAP","GPR37L1",0.0237039592180025,0,"PSAP_GPR37L1","PSAP - GPR37L1","PSAP","Secreted Signaling","PMID: 23690594"
"84","In","Opc","PSAP","GPR37L1",0.00863777917039413,0,"PSAP_GPR37L1","PSAP - GPR37L1","PSAP","Secreted Signaling","PMID: 23690594"
"85","Mic","Opc","PSAP","GPR37L1",0.0123708631336583,0,"PSAP_GPR37L1","PSAP - GPR37L1","PSAP","Secreted Signaling","PMID: 23690594"
"86","Oli","Opc","PSAP","GPR37L1",0.0101058362039949,0,"PSAP_GPR37L1","PSAP - GPR37L1","PSAP","Secreted Signaling","PMID: 23690594"
"87","Opc","Opc","PSAP","GPR37L1",0.00949466918779486,0,"PSAP_GPR37L1","PSAP - GPR37L1","PSAP","Secreted Signaling","PMID: 23690594"
"88","Ast","Oli","PSAP","GPR37",0.0333118973009746,0,"PSAP_GPR37","PSAP - GPR37","PSAP","Secreted Signaling","PMID: 23690594"
"89","End","Oli","PSAP","GPR37",0.0113199157551854,0,"PSAP_GPR37","PSAP - GPR37","PSAP","Secreted Signaling","PMID: 23690594"
"90","Ex","Oli","PSAP","GPR37",0.0301178317155244,0,"PSAP_GPR37","PSAP - GPR37","PSAP","Secreted Signaling","PMID: 23690594"
"91","In","Oli","PSAP","GPR37",0.0110210292170524,0,"PSAP_GPR37","PSAP - GPR37","PSAP","Secreted Signaling","PMID: 23690594"
"92","Mic","Oli","PSAP","GPR37",0.0157677263568105,0,"PSAP_GPR37","PSAP - GPR37","PSAP","Secreted Signaling","PMID: 23690594"
"93","Oli","Oli","PSAP","GPR37",0.0128888717870258,0,"PSAP_GPR37","PSAP - GPR37","PSAP","Secreted Signaling","PMID: 23690594"
"94","Opc","Oli","PSAP","GPR37",0.0121114554035342,0,"PSAP_GPR37","PSAP - GPR37","PSAP","Secreted Signaling","PMID: 23690594"
