"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"45","endothelial","endothelial","WNT2B","FZD6_LRP6",1.06431631581306e-07,0,"WNT2B_FZD6_LRP6","WNT2B - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"46","endothelial","astrocytes","WNT2B","FZD8_LRP6",2.54491815428779e-07,0,"WNT2B_FZD8_LRP6","WNT2B - (FZD8+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"47","microglia","neurons","WNT5A","FZD3",7.27787200738911e-05,0.03,"WNT5A_FZD3","WNT5A - FZD3","ncWNT","Secreted Signaling","KEGG: hsa04310"
"48","OPC","neurons","WNT5A","FZD3",0.000218231116586615,0.01,"WNT5A_FZD3","WNT5A - FZD3","ncWNT","Secreted Signaling","KEGG: hsa04310"
"49","microglia","astrocytes","WNT5A","FZD4",6.8101799016573e-06,0,"WNT5A_FZD4","WNT5A - FZD4","ncWNT","Secreted Signaling","KEGG: hsa04310"
"50","OPC","astrocytes","WNT5A","FZD4",2.04234032306065e-05,0,"WNT5A_FZD4","WNT5A - FZD4","ncWNT","Secreted Signaling","KEGG: hsa04310"
"51","microglia","endothelial","WNT5A","FZD4",1.45434585064192e-05,0.01,"WNT5A_FZD4","WNT5A - FZD4","ncWNT","Secreted Signaling","KEGG: hsa04310"
"52","OPC","endothelial","WNT5A","FZD4",4.36144610269189e-05,0,"WNT5A_FZD4","WNT5A - FZD4","ncWNT","Secreted Signaling","KEGG: hsa04310"
"53","microglia","oligodendrocytes","WNT5A","FZD5",2.71500319679518e-06,0,"WNT5A_FZD5","WNT5A - FZD5","ncWNT","Secreted Signaling","KEGG: hsa04310"
"54","OPC","oligodendrocytes","WNT5A","FZD5",8.14223115717586e-06,0,"WNT5A_FZD5","WNT5A - FZD5","ncWNT","Secreted Signaling","KEGG: hsa04310"
"55","microglia","OPC","WNT5A","FZD5",2.85632162163233e-06,0.01,"WNT5A_FZD5","WNT5A - FZD5","ncWNT","Secreted Signaling","KEGG: hsa04310"
"56","OPC","OPC","WNT5A","FZD5",8.56603939182555e-06,0,"WNT5A_FZD5","WNT5A - FZD5","ncWNT","Secreted Signaling","KEGG: hsa04310"
"57","microglia","endothelial","WNT5A","FZD6",2.04783579187868e-06,0,"WNT5A_FZD6","WNT5A - FZD6","ncWNT","Secreted Signaling","KEGG: hsa04310"
"58","OPC","endothelial","WNT5A","FZD6",6.14141988725372e-06,0,"WNT5A_FZD6","WNT5A - FZD6","ncWNT","Secreted Signaling","KEGG: hsa04310"
"59","microglia","astrocytes","WNT5A","FZD8",4.1278782582874e-07,0,"WNT5A_FZD8","WNT5A - FZD8","ncWNT","Secreted Signaling","KEGG: hsa04310"
